Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Julie Ehlmann,"As a believer, I started to watch The Chosen series because some of my friends did. It wasn't long before I had a problem. For me, I do not like words or stories added to or taken away from what is written in the Bible. I believe everything that is in the Bible is God breathed. When we do this, we are saying that what God has given us is not enough. I will never say that.",For,,1,,5 months ago
guy g,I wish I could meet Todd,For,,"
    0
  ",,8 months ago
Robin Doe,"I very much enjoyed both seasons of The Chosen.  As a believer and follower of Christ,  I will admit it opened my imagination to what life may have been like when Jesus walked the earth.  I have kept in mind however that this is entertainment and not scripturally accurate.  I don't care for some of the story lines and back stories Dallas poses however I still find it fascinating to picture the culture and times of Jesus.  As all of us that are followers of the Way, we long to meet Jesus and see Him face to face.  I would be lying if I didn't say I was moved to tears during the encounter on the rooftop when Jesus is talking with Nicodemus regarding the requirements to become a follower and be saved, as well as Jesus first encounter with Mary.  It was humbling to see Nicodemus fall to his knees in tears in the presence of Jesus, as I think most of us would. It's like the Mercy Me song, when Bart sings about how he will react when he meets Jesus face to face, ""or will I fall to my knees, will I sing hallelujah will I be able to speak at all, I can only imagine"". I believe it is the to see Jesus and perhaps glimpse His life that draws people to The Chosen.  Having said that, I notice there are many people who are beginning to ""worship"" the actor who plays Jesus, Jonathan Roumie.  I believe he is doing an excellent job portraying Jesus but he is just a man.  I've also noticed the hype and almost cult behavior around those who watch/follow The Chosen.  I will watch the series to it's completion with the perspective that this entertainment.  I know the Truth and I believe every word in the Bible.  As this is a production for entertainment, the actors, producers and directors will take liberties that have nothing to do with scripture as we have seen already.  I feel it is okay to watch the series as long as you know truth from fiction and have discernment.

Dallas Jenkins wants to be a famous director/producer.  He has made that known since the beginning of The Chosen when he discusses his crushing failure in Hollywood.  I hope this does not come across as judgmental but I have noticed Dallas has a very faithful following now and it seems that he is losing perspective/focus for the reason he created The Chosen.  He is gaining the fame and notoriety he always wanted.  I pray this does not change his focus. It may already be too late as I see he surrounds himself with famous ""Christian"" musicians that are more secular than true followers.  It is a very slippery slope and those who do not know the true Word can be easily drawn into the new age Christian movement.",Against,,"
    0
  ",,8 months ago (edited)
BBL81,Better than watching all the other crap on Tv,Against,,"
    0
  ",,8 months ago
Reid Bartlett,"Well I was going to try and watch the Chosen, but after hearing this review, and I do trust Todd's premise on things, I'll be skipping that show.",For,,8,,8 months ago
Assyrian Born Again,"The best video I watched about The Chosen. Never watched it, and never will. Doctrine Matters.",For,,"
    0
  ",,14 hours ago
Jesus’ Beloved,"I have problems with the RC cult leanings. I was unaware of the Mormon cult connection. I’ve watched both seasons of the Chosen a few times. When the man who portrays Jesus spoke so strongly about his RC involvement, it really lost its luster. This is such a subtle end times deception, it could ‘fool the very elect.’ 
What also saddens me is Dallas Jenkins is Gerry Jenkins son. He co wrote the Left Behind series with Dr. Timothy LaHaye. God used that series to bring me back from many years of living backslidden. It’s sad in an, hopefully, honest effort to win souls, Dallas and Gerry have compromised; one step on a hill, the other on a banana peel.",For,,"
    0
  ",1 reply,8 months ago
Eric Tetreault,️️,Drop,,"
    0
  ",,8 months ago
Guardiansfate,"I see the chosen as a gateway for many. However, when I recommend it I too point out it is not biblically accurate but is to communicate some of the feeling.

To be blunt, it’s the Message, NIV, and other “feeling” interpretation’s of the Bible.

I still roll KJV and NASB. I wish I could prioritize learning the original language and have copies of the original text.

The chosen only moves me when I see others make the connection that there is more. However, the Word is King.",For,,1,,8 months ago
brunalop2000,"I do agree with you !!’
It drives me crazy",For,,1,,8 months ago
Mark Lengel,"Good considerations, but I’ll defend a light viewing of it. I’m sure the goal of the show is to be faithful to Scripture and provide a high quality piece of art that people can watch in their free time other than the plethora of unedifying art available. Is God glorified in the making of this show? I would say yes when they are faithful to the words and tone of Scripture. I believe Dallas says its not a replacement for reading your bible and that shouldn’t even need to be said. I think the problem could lay with Christians not being solid in biblical knowledge and their faith, and not the art itself. I’ve watched each episode once and the show has a few things I’m not thrilled about, but I’ve found some moments spot on and quite edifying, which would be another question: is it edifying? And that would be a question for each individual. Someone could say “just read your bible,” which is true, but I think it misses the point of art. I wish they would make more narrative connections from the OT, they’ve made a few and done a good job, but there’s more room for adding biblical theology and other nuance.",Against,,7,3 replies,8 months ago
Michael Potts,Your voice is rising in octave here sir.,Against,,"
    0
  ",,8 months ago
Green trails,"So some correction on your Video as a member of the Church of Jesus Christ of Latter Days saints. We don’t believe it’s our works that save us, at the end of the Day it’s only Christ that saves. We simply believe God has asked us to live his commandments and follow his path and share that knowledge of our Lord and Savior with others so they can find that joy in life. Love all you fellow believers in Christ",Against,,"
    0
  ",,5 months ago
GodBlessed Sista,Totally ,For,,"
    0
  ",,7 months ago
David Richard,"The Chosen is for God
The seen at the well with the Samaritan woman said it all. It's now about your belief and a heart change.
It doesn't get any better than that !!!",Against,,"
    0
  ",,5 months ago (edited)
NoName,"I agree mr.todd, us Christians must be aware to whatever we watch.",For,,"
    0
  ",,2 months ago
Charles Laird,"Todd, please think this through.  Dallas went to some Roman Catholic people to determine historical accuracy.  Went to Jews to determine historical accuracy.  Went to various other people as well.  He then leads from the Bible.  I have watched this show many times now and I watched it through the entire first season before I watched it with my wife.  Then I watched it with my children.  I am exceedingly careful to ensure false teachings don't slip through.  I do know that some of the people involved are Mormons and that is something that I am acutely aware of.  I evangelize to Mormons, so I am very familiar with their doctrines, etc - and am very watchful.  I hear you Todd, but please judge the content directly.  If there is something you see - let's look at that.... IF Dallas in one of the episodes shows Joseph Smith walking out with tablets, I'm going to shoot the whole thing down myself...  Judge the content directly on it's own.  Talk to Dallas directly.  He is very approachable.                       ----------------- Remember, Passion of the Christ was done by a Roman Catholic.  Maybe you didn't like that movie, but my point is, there are influences counter to Christianity that are involved in all movies.  And heck man, you are technically being published by an Atheistic company called Youtube.  Love your content Todd.  Blessings sir.",Against,,25,10 replies,8 months ago
Russ S,The last reason Todd mentions was why C.S. Lewis wrote the Screwtape letters from a demon's perspective. He didn't want to put words in God's mouth.,For,,"
    0
  ",,4 months ago
Douglas Carl,"You, sir, are a modern day Pharisee.",Against,,1,1 reply,4 months ago
Suave Soto,Todd Friel = Modern day Pharisee,Against,,2,2 replies,8 months ago
Elizabeth Perilloux,"I watched the first two seasons with some reservations. By the time the second season was over, I was done.  And I haven't missed it.  There were enough liberties taken with the Truth that I won't go back to it.",For,,"
    0
  ",,6 months ago
Linda coleman,"I never watched it, 3 great points.",For,,1,,8 months ago
taylor,"I tried to watch The Chosen, but I felt too uneasy about it.  I grew up in Mormonism, and they definitely have a different Jesus.",For,,42,10 replies,8 months ago
Kayla Strickland,️‍,Drop,,"
    0
  ",,8 months ago
Keith Sturgill,"If we apply Todd’s argument beyond The Chosen, are there any sources that are edifying other than the Bible?  Commentaries, church plays, etc.   I think there are good content sources that help us apply the Gospel to our lives….while The Chosen is not perfect, I think it has sparked interest in getting into the Gospels.  I think that’s goodness.",Against,ALVINA,1,,7 months ago
Justin Keenan,Doctrine matters!,For,,1,,8 months ago
Debbie Crossland,It didn’t take much for me to see a lot of red flags. I never had an interest in it but 2 ladies I was discipleing were totally into it. Just the forward at the beginning of the show was a major red flag. I watched it for them and my humble advise was to stay away from it. It’ll cause confusion and a definately a wrong unreal view of our Lord and the Bible. Unfortunately I know a lot of Christian’s watch this. I’m sooooo glad you did a segment on this. Thank you,For,,"
    0
  ",,8 months ago
Carrena James,Doctrine matters!,For,,1,,8 months ago
james barr,The last book of the Bible makes this point it is the last command from the Lord. Do not add or take away from the Bible.,For,,5,,8 months ago
Sing Talk Laugh Li,"I understand the concerns, but what I like about Chosen is that this is one of the first ""Christian"" series that's actually good. The Christian movie industry is most of the time horrible. For some reason, there's only cheesy Hallmark type films for Christians. My ultimate goal for the Christian movie industry is to film something similar to Prince of Egypt, which had amazing animation, songs, and a fantastic storyline and for people to show their God-given talents in the movie industry and stop settling for awful Christian movies. Though I don't think Chosen is really Christian, I applaud that they're actually producing a good series (I mean with the lighting, the music, the characters, etc). Hopefully they open the platform so that other Christian producers can step up and create real good-quality biblically accurate Christian content.",Against,,"
    0
  ",,7 months ago
Vitamortis,todd looks more like ray comfort every day,Drop,,"
    0
  ",,8 months ago
"Christ Victorious, Kingdom Now! Playlist",Enjoy Christian music with a radio feel? Check out our 3+ hour playlist-God-bless!,Drop,,"
    0
  ",,8 months ago
Bjorn Egan,Transcribe the show and bind it as a book. how would you describe that book and would you recommend it?,For,,"
    0
  ",,8 months ago
Wilderness Preacher,Good Stuff,For,,1,,5 months ago
Kevinator,"I admit...when I first started watching The Chosen...it appealed to me and I liked it. As a mature man/Christian, I understood that this show was fictionalized for entertainment purposes. However, for some reason, I felt a little uncomfortable with it. The support for this show was /is almost cult-like. So...I did some research on who was behind making this series.  Then I started hearing the comments made by Jenkins.  That is what made me stop watching this fictionalized story of Jesus. Can it spark an interest from an unbeliever? Possibly. But it also may lead them down a wrong path after that interest is sparked.

We do not worship the same Jesus as mormons or for that matter...even catholics. Do some research on this topic. What you will find will show how preposterous Dallas Jenkins is with his comments.  Since the mormons are producing this show with Jenkins and that the producers make the money. You must realize that this profit money is going to the mormon church (as a good mormon would tithe it) and supporting their missionary work.",For,,7,1 reply,8 months ago (edited)
Jim King,Thanks for doing this Todd. I actually was done with the chosen during season two when Jesus was rehearsing His sermons.,For,,"
    0
  ",1 reply,8 months ago
onebozo4u,I’ve watched it purely for clean entertainment,Against,,"
    0
  ",,5 months ago
Ambrose,great vid. that outro was funny lol,For,,"
    0
  ",,8 months ago
NPO Noah prO,"When I was born again, I got the gift of discernment. I could tell this show was ""off"" eventually. Yep",For,,"
    0
  ",,7 months ago
gma 6,"Thank you! A group at our church were gathering & watching it but I wouldn't go.The Spirit would not allow me to watch even 1, now I know why.",For,,2,,8 months ago
angie,Never watch chosen or any movies made by unsaved people.,For,,9,,8 months ago
KEN,"Everyone on the set of The Passion of the Christ is also ordained as Catholics (except Judas' actor who is an Atheist).

But that movie made so many viewers convert to Christianity, it moved them to tears and sorrow for what Jesus put Himself though.",Against,,1,,8 months ago
Lori Wofford,I started watching The Chosen but stopped because something just wasn’t right about it.  It didn’t feel right and I suppose it was because there was the filling in of the gaps which put it in the genre of historical fiction for me.  I quit reading historical fiction of any kind because I didn’t like the fictional characters who had fictional relationships and conversations with historical figures and The Chosen incorporated some of that.  Plus there was some modern language in it like referring to some people as “those guys”.,For,,"
    0
  ",,8 months ago
kilrqween,"Jim Caviziel, who played Jesus in The Passion of the Christ is Roman Catholic also.",For,,"
    0
  ",,7 months ago
3DpastorDOTblogspot,Kenny Loggins!  :) Now there's a reference I've not heard in awhile! :),Drop,,"
    0
  ",,8 months ago
Krisi Stephens,"jesus of nazareth, is by far the best movie!",Against,,"
    0
  ",,3 months ago
Lee,"They kinda lost me when they portrayed Jesus rehearsing the sermon on the Mount. I have never considered that the sermon was something that Jesus performed, but that it was the outpouring of His heart.
Am I wrong?",For,,5,4 replies,8 months ago
Jaden Heard,"Fair points made, however God can use anything including The Chosen to bring more souls to the kingdom and it’s also what got my brother opened up to be ministered to. Now he’s a believer and I can’t say it wasn’t because God was working through The Chosen. Again, very fair points and definitely something to consider, but the content itself isn’t heretically convicting to me (trust me I’m picky) like a lot of modern day Christian music is convicting.",Against,,1,,8 months ago
Deck Ape,"Taking this into consideration, should I be concerned with shows like Super Book and Veggie Tales? I took it for granted that this was simply entertainment.",For,,"
    0
  ",,5 months ago
CP Josh,"Don't watch the chosen, but buy my book.",Drop,,"
    0
  ",,8 months ago
Tee DoubleU,"I haven't watched this series because I'm a baby Christian, who is slowly making her way through reading the entire Bible. I watched and read a few reviews but Michelle Lesley's blog posts encouraged me to not watch it as I was a new believer and didn't know the Scriptures well enough to discern between what's Biblical vs dallas' interpretation. I am ever grateful to all the bloggers and vloggers who have helped guide me to the decision to not watch it. I don't trust myself enough to watch it for only entertainment.",For,,2,4 replies,8 months ago (edited)
Kurt L,"Solid video. 

Ecumenism =
“Artistic license”=
financial and content contributors are Lds, Rcc = ",For,,1,,5 months ago
Bee Flat,"Sorry Todd, gotta disagree. The purpose of the Chosen is to communicate the kindness and goodness of Christ so to speak. They even put a disclaimer at the beginning of the first episode that encourages people to read the accounts in the gospels and take The Chosen lightly.",Against,,4,,8 months ago
fredo corleone jr,"I haven't seen The Chosen yet. A reason I've been sort of resisting is the so-called Cleansing of the Temple. I don't know if they portrayed it yet, but it is has often been shown as Jesus flying off the handle and going nuts tipping tables over and so forth. Jesus was resolute and determined but always in self-control, even when he was overturning tables or using the whip he'd made. A Jesus who loses his temper would be a deal breaker for me, because Jesus, the real Jesus, is without sin. So I've been waiting to sort of pick up on how The Chosen handles this particular incident.",Against,,"
    0
  ",1 reply,8 months ago
Robyn Elliott,Man Buddy you’re some kind of special. Pick on something that counts,Against,,1,1 reply,8 months ago
Fantasma,I mostly agree with the fact that the chosen can be more amusing than the bible due to reading being boring for many people. I believe the chosen is really only fitting as another form of entertainment.,Against,,"
    0
  ",,5 months ago (edited)
Dean Domino,"Yeah I always say that I don't recommend replacing reading the Bible with watching the chosen, and I don't recommend watching it for edification.
But in my opinion, I think the chosen is a breath of fresh air in a way, especially if you consider all the garbage the media puts out nowadays.
Good to watch but not good for edification purposes",Against,,"
    0
  ",,8 months ago
Aaron Sanders,The Gospels are definitely enough.,For,,"
    0
  ",,8 months ago
Sharon Foy,I never understood the attraction to this series … i get a creepy feeling from the guy who plays Jesus.  I’ve been a Christian since I was 5 and this does not sit right with me.,For,,3,1 reply,8 months ago
Foolish Tactics,The first season was interesting but into the second I could sense that there was something weird going on and it got more and more solidified that The Chosen was more and more inaccurate and insulting.,For,,"
    0
  ",,8 months ago
Tammy Dupuis,As long as you are not saying that you don't have to change your ways when you come to Jesus.,For,,1,,8 months ago
Brendan Brady,I like that one Jesus movie made in the 90s or the passion this one is whatever,For,,"
    0
  ",,7 months ago
fortresscast,"Thank you for bringing up this issue! This is why I cannot support any “Christian” film effort that is facilitated by LDS types, to include vid angel.",For,,"
    0
  ",,8 months ago
Vanessa Loy,Now do The Passion of the Christ.,Drop,,"
    0
  ",,8 months ago
Victor Rios,"I feel the same way about people showing images of Jesus, or playing Jesus in movies. I don't think it's right. We don't know what Jesus looked like. So when people make images of Jesus, or play Jesus, they are creating a Jesus/God/Idol. That's why I am disappointed when people see that guy with long hair, a beard, in a robe and call him Jesus. That's an idol constructed by man.",For,,6,2 replies,8 months ago
Mightymikeamps,"The part of The Chosen that bothered me was when the Actor playing Jesus ask one of his Apostles what he should say in a sermon he is preparing for, and the Apostle is advising the Actor playing Jesus what to say as if the creator of all things needs a tutor.",For,,"
    0
  ",,4 months ago
jason82,"The chosen helped people come to faith, get their foot in the door ,,leading people closer rather than pushing them aways. can’t be mad at that",Against,,"
    0
  ",,8 months ago
Josema Otiz, ,Drop,,"
    0
  ",,3 weeks ago
Chris Wilson,2nd commandment forbids worshiping God through images anyway. We have scripture to look to. Very helpful video,For,,"
    0
  ",,8 months ago
Ange,"I agree. 
I’m the only one I know that won’t watch it among family & friends ..",For,,"
    0
  ",,8 months ago
Better Left Said,"“Is there any rank heresy in the Chosen? Not that I know of…”.   alright then. Those who deny the Spirit’s present help miss so much…  The Chosen is a blessing in a dark dark world. 

12“**I have much more to say to you, more than you can now bear. 13But when he, the Spirit of truth, comes, he will guide you into all the truth***. He will not speak on his own; he will speak only what he hears, and he will tell you what is yet to come. 14He will glorify me because it is from me that he will receive what he will make known to you.” John 16

What makes me uneasy are Christians who will watch or read terribly secular and ungodly things and praise them, rave about them, and then gripe about any attempt to share the Bible / Jesus in artistic form…  I appreciate some of what you do here but… be sure ye search not the scriptures because you think eternal life is in the text (rather than in Jesus himself). ",Against,,3,2 replies,8 months ago (edited)
Reese Smith,There is a really interesting book out there called Re-Grace by Frank Viola….it’s one of those books we should all read before we open our mouths about anyone.,Against,,"
    0
  ",,8 months ago
timothy morrell,I love how Todd Friel (a Calvinist)  Who's 5 point Tulip system is one of the most satanic systems every created.,Against,,"
    0
  ",,8 months ago
Wretched 2JZ T.V.,"Glad you finally called them out guys.. your late tho they have already got to SO MANY people. 

Yes there’s bad heresy in the Chosen. They constantly take away from His diety.",For,,"
    0
  ",,8 months ago
Given_Grace,"I enjoyed the Chosen immensely. However they did add a lot of things that are just not in the gospels that are nice from a watching point of view but definitely not theological or biblical. I'm thinking of Thomas and Ramah,  Matthews autism and secret love for Mary, Nathanael's despair underneath the fig tree etc.

I understand that it was never intended to be a verse by verse reproduction of the gospel but far too much was included for artistic interpretation. Many of the miracles happened at inconsistent times not keeping to the record in the gospels. People might say ""hey, what's the harm"" but the harm is in that they weren't just miracles Jesus did but every single one was done, at a certain place and time for a certain reason.

It'll also be confusing to the reader of a Bible when things don't happen the same, what I mean by this is that it's lovely many new people are getting into the Bible because of the chosen however if they don't understand the chosen is just a TV show then they might struggle where the Bible tells a very different story.

All in all I love the chosen but in the same way I love The Case for Christ, great entertainment but in no way do I take it as that's what genuinely happened and how it happened ️",For,,"
    0
  ",,8 months ago
toOnybrain,(I like the dog-walking addendum. ),Drop,,"
    0
  ",,6 months ago
OzzyB,"I disagree with your take on this to an extent. 
I’ve watched the Chosen. I’ve been saved for 7-8 years now give it take. Have spent a lot of time in theology and apologetics. 
The Chosen is inspired by the Bible and the “what would Jesus do” mentality. If we really want to get logistical and to the T we do not know every single word of every single minute that Jesus spoke. We get the Gospels and the recordings that the Apostles had with Jesus. But we don’t get a full 365 day account for each year of the day by day of Jesus’s 3 year ministry. 
Like if we wanna go that route we can. It’s not going to lead anywhere constructive. 
As far as the heart of the show it definitely stems from the biblical Jesus the compassion, the care, the steadfastness etc. it’s a depiction of course of what it would be like for us to witness Jesus. There have been many that have never known Christ that have come to know because of this show. Philippians 1:18 clearly speaks about how false teachers even use the word of God. If we through a show are sharing the personhood of Christ through a character played by someone who is not considered an evangelical or Protestant. Who cares. Is Jesus not being introduced to an audience that probably would have never cared? And if the crew consist of many different Christian’s who have different theological beliefs who cares? Are they not still helping lift up Christ. Whether they think it’s their depiction of Jesus or not. He’s clearly not being depicted as the Mormon Christ. But they’re doing their best to depict him as the biblical Christ. Not everything about the show will be “biblically accurate” for our Bible thumpers. 
I am aware and mature enough to know this is a show. Not everything is going to be script per script. Word per word like in the Bible. It’s clearly a show trying to depict how people are impacted by the sheer presence of Christ himself. That’s a good thing. 
So I can agree with you to an extent. But I wouldn’t tell someone to not watch this. Unless you have such glass convictions that you cannot consume any kind of media that doesn’t depict or talk about Christ word per word exactly how the Bible has it. 
I will say I appreciate the non English accents they have and the middle Easter like accents they carry because even tho it’s fictional they’re doing their best to depict the people of that time. 
All this to say. Can’t we just enjoy something good. Acknowledge that Christ is being lifted up regardless of the messenger and that who knows. Maybe through seeing this Show and working in this show those crew members believers and none believers may discover the true Christ ? 
That’s my $0.02 about this. Hope we can find a middle ground.",Against,,3,,8 months ago
Makayla Lee,"I used to watch the chosen. I honestly really like it. However, no matter how much I like the content of The Chosen it has to be theological and biblical sound. I didn't realise that at the time.  I'm very happy and disappointed that decided to discontinued watching it.",For,,"
    0
  ",,8 months ago
I LOVE GOD AND JESUS JOHN 3:16 REVELATION 21:4,"Matthew 17:27
Notwithstanding, lest we should offend them, go thou to the sea, and cast an hook, and take up the fish that first cometh up; and when thou hast opened his mouth, thou shalt find a piece of money: that take, and give unto them for me and thee.",Drop,,"
    0
  ",,8 months ago
Gerald Fireman,Oh my gosh- Christians working together! Wow! Send the comet!,Against,,"
    0
  ",,5 months ago
TheWalruswasJason,The Chosen is amazing.,Against,,"
    0
  ",,8 months ago
Jade Carstens,TY!! ,For,,1,,4 months ago
I only bow to God,there's nothing wrong with watching The chosen.,Against,,6,,8 months ago
diefenbakersown,"There is the image of Jesus made by having an actor play Him.  Every time the actor speaks or does something, he is remaking God in his image.",For,,"
    0
  ",,8 months ago
wcharliewilson,"The only theologically sound of all the movies I have watched throughout the decades, 'Jesus' (1979) Entirely from Luke's Gospel, KJV....",For,,"
    0
  ",,8 months ago
Clouseauish,Thank you Thank you,For,,"
    0
  ",,1 month ago
1eyedjacksRwild,Question for you Todd. If you have an issue with Dallas and the Chosen and since Dallas is a brother in Christ did you approach him with your concerns first as scripture asks of us? Or did you put out a video first?,Against,,"
    0
  ",,8 months ago
Lucian09474,The coping on this video and the comments section is pure bliss,Drop,,"
    0
  ",,8 months ago
Sreenath Johnson 🏳️‍🌈⃠,I watch the chosen it helped bring me closer to GOD.,Against,,3,,8 months ago
J-Golden,"Of course it's the best source, but that doesn't mean we can't learn profound and deep Truths (with a capital T from those around us)",Against,,"
    0
  ",,8 months ago
Hem Of His Garment,"Yep, my husband and I really enjoyed the first few episodes, but the Holy Ghost convicted us to stop watching it entirely one day, we both felt nauseated and uneasy. The cast members and director are misleading many people!",For,,"
    0
  ",1 reply,8 months ago
Siri M,"GOT SEASON THREE TICKETS TOMORROW!!

So excited.. I’m going to go straight after reading my BOOK OF MORMON!!!

Sorry evangelical crazed bigots!",Against,,"
    0
  ",,5 months ago
Agate Agate,What does the name for these series “The Chosen” is supposed to mean? Who is/are chosen?,For,,"
    0
  ",,3 months ago
j Mielke,Luke 9:50,Drop,,"
    0
  ",,8 months ago
Yoshi T,No. We don't love the same Jesus.  Mormons and Catholics are not Christians.,For,,3,,8 months ago
wesley davis,"I've enjoyed the show, but maybe a disclaimer is in order before each episode to explain while a lot of the events are based in biblical history that there is a fictional element to the series as well.",Against,,"
    0
  ",,8 months ago
samson peter,"Hello Pastor Todd quick question
in the video you mentioned that the apocrypha books are dangerous to consume(3.24) can you elaborate on it becz if we llok into the old testament we can see in the book of Esther There is no place where God is being mentioned but it doesnt affect in any manner ryt!!",Against,,"
    0
  ",,8 months ago
iiShadowii7,true,For,,2,,8 months ago
John Hill,Was that statement saying they believe in the same Jesus taken out of context in what / who he was referencing?  Just wondering b/c I have seen interviews with him where he says he was talking about individual movie partners and not LDS or Catholicism as a whole.  Would be nice if you could link that interview in its entirety instead of a snippet that may be construed as taken out of context.  Just wondering.  ,Against,,"
    0
  ",,8 months ago (edited)
paul torbert,"@Wretched

Todd, have you see ""Days of Noah"" by FAI  (Here on YouTube, on the FAI Channel) ?????

I'd like to hear your thoughts.....",Drop,,"
    0
  ",,7 months ago (edited)
Søren Bang Hansen,I consider myself a conservative evangelical and have been following Wretched for years - but this is over the top. Like when some christians attack fantasy litterature from Tolkien and Lewis which are obviously both Christian - and who cares if Tolkien was catholic? Who cares about the background of people on the set of The Chosen? Do you have specific examples of heresy? I am a huge fan of Jesus Christ our saviour - and indeed of The Chosen - a well made retelling of the New Testament that makes the Gospel more accessible without changing anything of any significance. This attack is really a disservice to the Gospel.,Against,,6,11 replies,8 months ago
Barb Johnson,"I originally donated to the Chosen, as one of the first investors ( based off the very first Christmas video).
Something has changed. I lost interest after the first episode of the second season.   Their social media is just out there. I might watch it when the third season comes out, but I will NOT financially support the show, or recommend it to any one",For,,2,,8 months ago
viandolonga1,"The problem is not with the show, people want to be fed the gospel so they look for media outlets, artists, music producers and expect them to have the ""right"" beliefs, in doing so they are placing their sights on someone else and not actually having a relationship with God. Everyone individually needs to evaluate if a certain show/song or anything else is drawing them closer or further from God. He can use anything to show you His love, so ruling it for others isnt fair.",Against,,"
    0
  ",,8 months ago
Mike Antos,"Sola Scriptora does not imply that it’s sufficient for our heart, only for our mind.",Against,,"
    0
  ",,8 months ago
Rock Zalt,"I would like to believe that people would talk about and discuss the show but not solely rely on getting their theology from it. Besides the second a person or Pastor says it's dangerous, some people that may not of ever intended to watch it will do so. The only real danger is for a Pastor 'if' he is incapable to explain the shows theological flaws.",Against,,1,,8 months ago
Kira Ani McGrath,"Interesting that two clips from the blooper reel were used in the beginning.
Todd must not like The Ten Commandments either.",Against,,"
    0
  ",,8 months ago
loveofreedom777,I prefer depending on the word of God,For,,1,,8 months ago
dolphinrose21,I know many people who left catholic church after watching chosen...it's got a strong emotional pull at heart strings ....but it's not a foundation for Christian walk ...the same ppl today are struggling with their first testing season after being a new born again believer....so God may use anyone to lead us to Christ ....I hope we all know the real Christ,Against,,"
    0
  ",,8 months ago
Andrew Turner,Thanks for the Rigid perspective....,Against,,"
    0
  ",,5 months ago
Jeffrey Dean,"I try my best to watch it with discernment for what the Bible actually says.  It's ultimately fiction with some non-fiction mixed in.  One of my favorite ""Christian-themed"" movies is ""Risen.""  There's a lot that can impact someone for good even though it might not be 100% accurate.  As believers, we just have to be very careful to consult our Bibles for the actual truth.",Against,,"
    0
  ",,8 months ago
David M,"I have never seen a single part of ""The Chosen"" and have no desire to do so. Period!!",For,,"
    0
  ",,8 months ago
monyonk89,"Haven't checked on Wretched in a while and WHOA! BEARDS! Lol. Joke aside, fictionalizing part of  scripture no matter how small could actually be dangerous imo",For,,"
    0
  ",,8 months ago
Zach e J,I finally realized why Aaron Rodgers is growing out his hair.,Drop,,"
    0
  ",,8 months ago
Anthony Lynam,"If you're looking for a movie that is taken from the Gospel of John word for word from the good news translation of the Bible I recommend you see the movie The Gospel of John. And when you do watch it watch the 3-hour version. There is no creative license taken there's no added text to the scripture that is used for the movies script, it is straight from the Gospel of John in the Bible. It is well made and inspirational.",Drop,,"
    0
  ",,8 months ago (edited)
motorTranz,"""But there were also false prophets among the people, just as there will be false teachers among you. They will secretly introduce destructive heresies, even denying the sovereign Lord who bought them—bringing swift destruction on themselves."" II Peter 2:1",For,,"
    0
  ",,8 months ago
gorotube10,Todd's beard is cool,Drop,,"
    0
  ",,8 months ago
Thomas,"Hi Todd, how are you doing? You do sound a bit weary/tired/short of breath. I'll pray for your health.",Drop,,"
    0
  ",,8 months ago
Learn English Together Online,it's better to watch the Chosen movie than watch pornography,Against,,"
    0
  ",,8 months ago
JESUS is LORD,"The Chosen, like most other ""Christian"" shows is used in most people's eyes as entertainment, as it is very intriguing, drama filled, and entertaining. 

When listening to the introduction song, right at the end the female singer gets into this long sigh. When I first listened to it I felt disturbed. It’s sounding sensual, and luring. It’s some thing that a lot of unbelievers put into their songs. 

Be careful with ANYTHING claiming Jesus, but showing entertainment. And by be careful I mean STAY AWAY.",For,,"
    0
  ",,7 months ago
Mary Wylde,"Thank you Todd!! When I saw ""Jesus"" ask Matthew for his advice on what to say on the sermon on the mount, I lost it. Jesus asked  things like that of the Father!!! NOT men!! I'm glad to see someone got saved. I hope they stick to the bible. That was the last time I watched. I wont watch any more. My discernment from God had me stop once I saw that one. No longer interested in it. I will stick with the bible.",For,,"
    0
  ",,8 months ago
"Know Christ, Know life. No Christ, No life","Well, Catholics didnt like the Christmas episode",Against,,"
    0
  ",,8 months ago
noLieBowtie,"Wait, did you start allowing comments? Epic.",Against,,"
    0
  ",,8 months ago
Latavia Murphy,"What is in Todd’s book about Jesus that will “make us love Jesus more” than the Bible?

That’s the same thing he asked about the chosen.",Against,,1,,5 months ago
Maiyee Moua,"When I first saw some emotional scenes of The Chosen, such as Jesus saving Mary Magdalene, I was really touched. However, the more I watched the show, the more I realized that the portrayal of Jesus seemed different—he was funny, appointed women to pray, called people’s faith “beautiful.” None of this seems to sound wrong in our day and age, but is this really what Jesus truly is like in the Bible? I think not, and that is what is so scary. People are seeing, absorbing, and seeking movie Jesus and not the real, living, biblical Jesus. I’d rather be touched by the Word of God, such as Jesus telling us he’s preparing a place for us in heaven & that he won’t leave us orphans (John 14), rather than feeling touched by a movie scene that never actually happened.",For,,"
    0
  ",,6 months ago
Candice Nelson,"I knew something didn't sit right with that show. My husband and I tried it and it gave us a bad taste. I guess it's a decent intro to Jesus... But truly, get to know the Bible to get to know Him.",For,,"
    0
  ",,8 months ago (edited)
The PotterEden,"I really appreciate this video. I had all of these concerns but everyone i talked to about, looked at me like i was crazy. A church we went to started a bible study based on the chosen… not great",For,,"
    0
  ",,8 months ago
TheWazil,I fortunately stoped watching TV in 2012!,For,,"
    0
  ",,8 months ago
